index,ID,Path,N,N_b,N_r,Class,T_eff,e_T_eff,E_T_eff,Lum,e_Lum,E_Lum,Radius,e_Rad,E_Rad,logg,e_logg,E_logg,Mass,e_Mass,E_Mass,rho,e_rho,E_rho
20839,4690829659971892480,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4690829659971892480.dat,29,15,14,CEP,5512.0,5369.5,6037.425,-1.0,-1.0,-1.0,4.656000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4697,6031105261590662016,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/6031105261590662016.dat,31,16,15,RRAB,5152.74,5051.1367,5297.35,-1.0,-1.0,-1.0,5.989,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14982,6445162683272742784,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/6445162683272742784.dat,38,19,19,RRC,7031.0,6762.25,7451.3237,5.89975,-1.0,-1.0,1.643,-1.0,-1.0,4.1971,-1.0,-1.0,1.55,-1.0,-1.0,0.3495,-1.0,-1.0
17008,3551679499840171904,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/3551679499840171904.dat,29,15,14,RRC,6907.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17813,2198913514856396032,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/2198913514856396032.dat,38,19,19,RRD,7352.0,-1.0,-1.0,26.69367,-1.0,-1.0,3.185,-1.0,-1.0,3.6547,-1.0,-1.0,1.67,-1.0,-1.0,0.0517,-1.0,-1.0
16007,5492840512444627584,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/5492840512444627584.dat,24,13,11,RRC,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23322,4657932340866068480,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4657932340866068480.dat,25,13,12,CEP,5822.22,5445.85,6332.75,45.15126,-1.0,-1.0,4.627,-1.0,-1.0,3.2894,-1.0,-1.0,1.52,-1.0,-1.0,0.0153,-1.0,-1.0
23530,2164475809937299584,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/2164475809937299584.dat,33,17,16,CEP,4860.2,4772.7,4918.0,604.7466,525.9142,683.579,34.68415,33.873676,35.967566999999995,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23045,4685896323149458048,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4685896323149458048.dat,27,14,13,CEP,5287.0,5167.8247,5367.0,-1.0,-1.0,-1.0,7.778,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18949,2033932344905657600,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/2033932344905657600.dat,26,14,12,T2CEP,4533.725,4407.0,5208.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23466,4655458645801126656,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/4655458645801126656.dat,27,14,13,CEP,6396.545,5751.4946,6665.25,-1.0,-1.0,-1.0,5.417999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17130,6675343076020766720,/home/Data/Databases/GAIA/Consolidate_Gaia/data_3/LCs/BP_RP_v3/6675343076020766720.dat,27,14,13,RRC,7442.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
